slowdown_type,step_value,step_label,latency_target_ms,fixed_target_throughput,trial_index,observed_throughput_ops_s,mean_latency_us,median_latency_us,p99_latency_us
cpu,4,4c,25,48000,1,49181.2787,13091482.8449,13939415.0000,15296501.0000
cpu,4,4c,25,48000,2,49180.4918,71656.5405,25499.0000,342099.0000
cpu,4,4c,25,48000,3,49999.8833,52332.1169,6087.0000,303511.0000
cpu,4,4c,25,48000,4,49180.3443,3907077.2729,4052623.0000,6465072.0000
cpu,4,4c,25,48000,5,49180.4262,835834.7862,874686.5000,2054733.0000
cpu,3,3c,25,42000,1,42765.7049,14242478.8180,15368470.5000,17014720.0000
cpu,3,3c,25,42000,2,42765.6066,19471.4086,2818.0000,199008.0000
cpu,3,3c,25,42000,3,43477.9333,12521.3969,2740.0000,157112.0000
cpu,3,3c,25,42000,4,42765.5738,17867.9853,2969.0000,231508.0000
cpu,3,3c,25,42000,5,42765.5410,43034.1352,3125.0000,422274.0000
cpu,2,2c,25,36000,1,36430.1148,28601515.3329,30242615.0000,44209783.0000
cpu,2,2c,25,36000,2,37036.9833,19800.4118,2443.0000,274473.0000
cpu,2,2c,25,36000,3,36430.2131,17395.0765,2419.0000,374937.0000
cpu,2,2c,25,36000,4,37036.8500,8171.9348,2150.0000,145234.0000
cpu,2,2c,25,36000,5,37036.6167,23864.4374,2253.0000,345625.0000
cpu,1,1c,25,30000,1,29806.6557,57703894.1760,58499223.0000,103216389.0000
cpu,1,1c,25,30000,2,29806.4590,11117489.8630,11495881.5000,19281304.0000
cpu,1,1c,25,30000,3,29806.4426,96278.3481,11754.0000,832192.0000
cpu,1,1c,25,30000,4,30303.0167,306559.4384,223463.0000,895465.0000
cpu,1,1c,25,30000,5,29806.2951,2924894.8437,3917098.0000,4631233.0000
