slowdown_type,step_value,step_label,latency_target_ms,fixed_target_throughput,trial_index,observed_throughput_ops_s,mean_latency_us,median_latency_us,p99_latency_us
network_bandwidth,500,500Mbps,25,48000,1,49180.3934,12751662.6614,14015395.5000,15091164.0000
network_bandwidth,500,500Mbps,25,48000,2,49180.6557,62486.3934,3913.0000,332479.0000
network_bandwidth,500,500Mbps,25,48000,3,49999.7167,35022.1142,11011.0000,163252.0000
network_bandwidth,500,500Mbps,25,48000,4,49180.3607,2388246.0355,2862209.0000,3128893.0000
network_bandwidth,500,500Mbps,25,48000,5,49180.5082,95785.8550,23481.0000,694305.0000
network_bandwidth,100,100Mbps,25,25000,1,24999.7833,664751.2057,192952.0000,2064918.0000
network_bandwidth,100,100Mbps,25,25000,2,24590.3115,13677.6432,1627.0000,145922.0000
network_bandwidth,100,100Mbps,25,25000,3,24590.1967,5523.6981,1359.0000,119538.0000
network_bandwidth,100,100Mbps,25,25000,4,24999.9667,11678.2313,1497.0000,167050.0000
network_bandwidth,100,100Mbps,25,25000,5,24999.9167,12511.1986,1476.0000,130073.0000
network_bandwidth,50,50Mbps,25,12000,1,11850.7049,1041655.3556,1087390.0000,1754103.0000
network_bandwidth,50,50Mbps,25,12000,2,11850.7541,2789507.4986,3166358.0000,3911839.0000
network_bandwidth,50,50Mbps,25,12000,3,11850.6885,22119.8183,1378.0000,150444.0000
network_bandwidth,50,50Mbps,25,12000,4,12047.9333,26412.8690,4514.0000,166154.0000
network_bandwidth,50,50Mbps,25,12000,5,12048.2000,39560.7658,7320.0000,245228.0000
network_bandwidth,25,25Mbps,25,5000,1,4918.0492,3839.4160,1270.0000,52497.0000
network_bandwidth,25,25Mbps,25,5000,2,4999.9333,3630.9812,1246.0000,16225.0000
network_bandwidth,25,25Mbps,25,5000,3,4918.0656,80863.8759,1484.0000,670106.0000
network_bandwidth,25,25Mbps,25,5000,4,4999.9833,9728.3616,1235.0000,273697.0000
network_bandwidth,25,25Mbps,25,5000,5,5000.0000,12299.6352,1277.0000,213187.0000
network_bandwidth,10,10Mbps,25,500,1,499.9833,2061.3422,2045.0000,2635.0000
network_bandwidth,10,10Mbps,25,500,2,491.8033,2020.4650,2008.0000,2344.0000
network_bandwidth,10,10Mbps,25,500,3,491.8033,2004.6723,1994.0000,2302.0000
network_bandwidth,10,10Mbps,25,500,4,491.8197,1985.9084,1976.0000,2297.0000
network_bandwidth,10,10Mbps,25,500,5,500.0000,2004.0507,1997.0000,2372.0000
