slowdown_type,step_value,step_label,latency_target_ms,fixed_target_throughput,trial_index,observed_throughput_ops_s,mean_latency_us,median_latency_us,p99_latency_us
network_latency,0.25ms,0.25ms,25,48000,1,49180.5246,17228693.7437,18938845.0000,20403204.0000
network_latency,0.25ms,0.25ms,25,48000,2,49180.3607,86772.1411,77947.0000,249981.0000
network_latency,0.25ms,0.25ms,25,48000,3,49180.6557,1468168.3896,1417821.0000,2249621.0000
network_latency,0.25ms,0.25ms,25,48000,4,49180.7705,70606.9291,19178.0000,367732.0000
network_latency,0.25ms,0.25ms,25,48000,5,49180.6721,41510.7399,6200.0000,254824.0000
network_latency,0.5ms,0.5ms,25,44000,1,44709.3934,10135017.4975,10742163.0000,12497862.0000
network_latency,0.5ms,0.5ms,25,44000,2,44709.6721,19170.7046,3079.0000,242662.0000
network_latency,0.5ms,0.5ms,25,44000,3,44709.6230,15695.4302,3349.0000,149272.0000
network_latency,0.5ms,0.5ms,25,44000,4,45454.4833,13542.6252,2903.0000,150983.0000
network_latency,0.5ms,0.5ms,25,44000,5,44709.6885,38667.0719,3465.0000,364441.0000
network_latency,1ms,1ms,25,42000,1,42765.9344,11173230.7976,11764253.0000,13704020.0000
network_latency,1ms,1ms,25,42000,2,42765.7705,15953.7719,3609.0000,178446.0000
network_latency,1ms,1ms,25,42000,3,42765.9180,15422.3252,3947.0000,134550.0000
network_latency,1ms,1ms,25,42000,4,42765.5574,105086.9118,53247.0000,374930.0000
network_latency,1ms,1ms,25,42000,5,42765.7377,55491.8199,5040.0000,437370.0000
network_latency,5ms,5ms,25,38000,1,37831.3115,14429398.5988,16545008.0000,17162545.0000
network_latency,5ms,5ms,25,38000,2,38461.3833,51637.1859,11737.0000,382718.0000
network_latency,5ms,5ms,25,38000,3,38461.2333,25955.8934,6608.0000,214372.0000
network_latency,5ms,5ms,25,38000,4,37831.3607,42175.8180,11253.0000,364730.0000
network_latency,5ms,5ms,25,38000,5,37831.1475,31314.1028,10622.5000,297933.0000
